stock_ticker,stock_name,nifty50,sensex,other
ADANIPORTS.NSE,Adani Ports,1,0,0
ASIANPAINT.NSE,Asian Paints,1,0,0
AXISBANK.NSE,Axis Bank,1,0,0
BAJAJ-AUTO.NSE,Bajaj Auto,1,0,0
BAJFINANCE.NSE,Bajaj Finance,1,0,0
BAJAJFINSV.NSE,Bajaj Finserv,1,0,0
BHARTIARTL.NSE,Bharti Airtel,1,0,0
INFRATEL.NSE,Bharti Infratel,1,0,0
BPCL.NSE,BPCL,1,0,0
CIPLA.NSE,Cipla,1,0,0
COALINDIA.NSE,Coal India,1,0,0
DRREDDY.NSE,Dr Reddys Labs,1,0,0
EICHERMOT.NSE,Eicher Motors,1,0,0
GAIL.NSE,GAIL,1,0,0
GRASIM.NSE,Grasim,1,0,0
HCLTECH.NSE,HCL Tech,1,0,0
HDFC.NSE,HDFC,1,0,0
HDFCBANK.NSE,HDFC Bank,1,0,0
HEROMOTOCO.NSE,Hero Motocorp,1,0,0
HINDALCO.NSE,Hindalco,1,0,0
HINDPETRO.NSE,HPCL,1,0,0
HINDUNILVR.NSE,HUL,1,0,0
ICICIBANK.NSE,ICICI Bank,1,0,0
IBULHSGFIN.NSE,Indiabulls Hsg,1,0,0
INDUSINDBK.NSE,IndusInd Bank,1,0,0
INFY.NSE,Infosys,1,0,0
IOC.NSE,IOC,1,0,0
ITC.NSE,ITC,1,0,0
JSWSTEEL.NSE,JSW Steel,1,0,0
KOTAKBANK.NSE,Kotak Mahindra,1,0,0
LT.NSE,Larsen,1,0,0
NTPC.NSE,NTPC,1,0,0
ONGC.NSE,ONGC,1,0,0
POWERGRID.NSE,Power Grid Corp,1,0,0
RELIANCE.NSE,Reliance,1,0,0
SBIN.NSE,SBI,1,0,0
SUNPHARMA.NSE,Sun Pharma,1,0,0
TATAMOTORS.NSE,Tata Motors,1,0,0
TATASTEEL.NSE,Tata Steel,1,0,0
TCS.NSE,TCS,1,0,0
TECHM.NSE,Tech Mahindra,1,0,0
TITAN.NSE,Titan Company,1,0,0
ULTRACEMCO.NSE,UltraTechCement,1,0,0
UPL.NSE,UPL,1,0,0
VEDL.NSE,Vedanta,1,0,0
WIPRO.NSE,Wipro,1,0,0
YESBANK.NSE,Yes Bank,1,0,0
ZEEL.NSE,Zee Entertain,1,0,0
AUBANK.NSE,AUSmallFinanceBankLtd.,0,0,1
ADANIPOWER.NSE,AdaniPowerLtd.,0,0,1
ABCAPITAL.NSE,AdityaBirlaCapitalLtd.,0,0,1
ABFRL.NSE,AdityaBirlaFashionandRetailLtd.,0,0,1
AJANTPHARM.NSE,AjantaPharmaceuticalsLtd.,0,0,1
ALKEM.NSE,AlkemLaboratoriesLtd.,0,0,1
AMARAJABAT.NSE,AmaraRajaBatteriesLtd.,0,0,1
APOLLOHOSP.NSE,ApolloHospitalsEnterpriseLtd.,0,0,1
APOLLOTYRE.NSE,ApolloTyresLtd.,0,0,1
BALKRISIND.NSE,BalkrishnaIndustriesLtd.,0,0,1
BANKINDIA.NSE,BankofIndia,0,0,1
BATAINDIA.NSE,BataIndiaLtd.,0,0,1
BERGEPAINT.NSE,BergerPaintsIndiaLtd.,0,0,1
BEL.NSE,BharatElectronicsLtd.,0,0,1
BHARATFORG.NSE,BharatForgeLtd.,0,0,1
BBTC.NSE,BombayBurmahTradingCorporationLtd.,0,0,1
CANBK.NSE,CanaraBank,0,0,1
CASTROLIND.NSE,CastrolIndiaLtd.,0,0,1
CHOLAFIN.NSE,CholamandalamInvestmentandFinanceCompan,0,0,1
COROMANDEL.NSE,CoromandelInternationalLtd.,0,0,1
