,Stock Ticker,Date,Finding_Type,Discription
0,APOLLOTYRE.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 225 Previous Day Close Price : 224.05 $$ 4. Gap Up  Rejected , Close Price : 220.1 Previous Day Open Price : 223.45 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
1,BATAINDIA.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1410 Close Price : 1415.6 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 1410 Previous Day Close Price : 1401.3 $$ 5. Latest Candle Gap down  , Open Price : 1401 Previous Day Price : 1410 $$ 6. Uptrend confirmed ."
2,EXIDEIND.NSE,2019-04-08,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 218.85 Close Day 2 Price : 218.75"
3,GLENMARK.NSE,2019-04-08,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 644.65 Close Day 2 Price : 644.55"
4,HCLTECH.NSE,2019-04-08,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1090.35 Close Price : 1092.8 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 1095 Previous Day Price : 1092.8 $$ 5. Second/Doji Candle Gap down  , Price : 1092.8 Previous Day Close Price : 1098.05"
5,IBULHSGFIN.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 903.5 Close Price : 903.05 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 903.05 Previous Day Close Price : 898.15 $$ 5. Latest Candle Gap down  , Open Price : 880 Previous Day Price : 903.05 $$ 6. Uptrend confirmed ."
6,INDUSINDBK.NSE,2019-04-08,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 1768.9 Close Day 2 Price : 1767.95 $$ 4. Uptrend confirmed"
7,MANAPPURAM.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 122.3 Previous Day Close Price : 121.15 $$ 4. Gap Up  Rejected , Close Price : 118.15 Previous Day Open Price : 118.55 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
8,MPHASIS.NSE,2019-04-08,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 976 Close Day 2 Price : 975.35"
9,OBEROIRLTY.NSE,2019-04-08,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 538 Close Day 2 Price : 537.8 $$ 4. Uptrend confirmed"
10,RECLTD.NSE,2019-04-08,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 154.3 Close Day 2 Price : 154.3 $$ 4. Uptrend confirmed"
11,SRF.NSE,2019-04-08,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 2500 Close Price : 2491.1 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 2491.1 Previous Day Close Price : 2484.9 $$ 5. Latest Candle Gap down  , Open Price : 2485.5 Previous Day Price : 2491.1 $$ 6. Uptrend confirmed ."
12,VEDL.NSE,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 194.1 Previous Day Close Price : 191.7 $$ 4. Gap Up  Rejected , Close Price : 186.65 Previous Day Open Price : 188.7 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
13,^NSEBANK,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 30201.5 Previous Day Close Price : 30084.65 $$ 4. Gap Up  Rejected , Close Price : 29845.301 Previous Day Open Price : 30002.85 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
14,^NSEI,2019-04-08,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 11704.35 Previous Day Close Price : 11665.95 $$ 4. Gap Up  Rejected , Close Price : 11604.5 Previous Day Open Price : 11638.4 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"


-- TWIZZER TOP/BOTTOM TAIL AND HEAD EXTENTION CHECK.        ==> Done
NIFTY 50 Downside confirmed wait to break 10DMA , buy PUT at 11590 range :- 11657.4	11496.2
NIFTYBANK :- CURRENT PRICE :- 29845 RANGE :- 30038.676	29523.225
BATAINDIA :- 1391 SELL ACTIVE, RANGE 1406.775	1378.775
MANAPPURAM :- 117.5 SELL ACTIVE, 115.5 TARGET ,RANGE 120.325	115.125
VEDL       :- STOP LOSS :- 190.875	TARGET :-180.975



