,Stock Ticker,Date,Finding_Type,Discription
0,ALKEM.NSE,2019-04-12,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 1748.55 Close Day 2 Price : 1748 $$ 4. Downtrend confirmed"
1,APOLLOHOSP.NSE,2019-04-12,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 1240 Close Price : 1239 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 1247.7 Previous Day Price : 1240 $$ 5. Second/Doji Candle Gap down  , Price : 1240 Previous Day Close Price : 1246.25"
2,BERGEPAINT.NSE,2019-04-12,MORNING_STAR," $$ 1. Lastest Bullish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 320 Close Price : 321.15 $$ 3. Last/3rd Bearish candle formed  $$ 4. Latest Candle Gap Up  , Open Price of Latest candle : 321.2 Previous Day Price : 321.15 $$ 5. Second/Doji Candle Gap down  , Price : 321.15 Previous Day Close Price : 321.3"
3,HDFC.NSE,2019-04-12,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 2024 Close Price : 2024.95 $$ 2. Previous Candle Doji Formation , Open Price : 2028 Close Price : 2028 $$ 3. Latest Doji Formation inside previous candle $$ 4. Uptrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  2048/2008.1"
4,JUBILANT.NSE,2019-04-12,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 686.4 Close Day 2 Price : 686 $$ 4. Downtrend confirmed"
5,LT.NSE,2019-04-12,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 1380 Close Day 2 Price : 1379.2"
6,OIL.NSE,2019-04-12,BULLISH_HARAMI," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. Gap up  , Open Price : 177.2 Previous Day Close Price : 176.7 $$ 4. HARAMI PATTERN FOUND , Previous Open Price : 180.25 Day High Price : 178.7 $$ 4. HARAMI PATTERN FOUND , Previous Close Price : 176.7 Day Low Price : 176.9"
7,SUNTV.NSE,2019-04-12,DOUBLE_DOJI," $$ 1. Latest Candle Doji Formation , Open Price : 602 Close Price : 602.45 $$ 2. Previous Candle Doji Formation , Open Price : 597.45 Close Price : 598 $$ 3. Latest Doji Formation inside previous candle $$ 4. Uptrend confirmed  $$ 5. STOPLOSS/BUYPRICE :-  606.5/591"
8,SYNGENE.NSE,2019-04-12,BEARISH_HARAMI," $$ 1. Bearish candle formed $$ 2. Bullish candle formed  $$ 3. Gap down  , Open Price : 578.5 Previous Day Close Price : 581 $$ 4. HARAMI PATTERN FOUND ,  $$ 5. Uptrend confirmed"
9,TITAN.NSE,2019-04-11,DRAGONFLY_DOJI," $$ 1. DOJI Found , Open Price : 1106.95 Close Price : 1105.05 $$ 2. Small or no upper shadow  , Open Price : 1106.95 High Price : 1106.95 $$ 3. Long Lower Shadow   , Close Price : 1105.05 Low Price : 1090.1"



$$ 1. Latest Candle Doji Formation , Open Price : 602 Close Price : 602.45
$$ 2. Previous Candle Doji Formation , Open Price : 597.45 Close Price : 598
$$ 3. Latest Doji Formation inside previous candle
$$ 4. Uptrend confirmed
$$ 5. STOPLOSS/BUYPRICE :-  606.5/591"
