,Stock Ticker,Date,Finding_Type,Discription
0,AJANTPHARM.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1037.3/1006.3
1,ASIANPAINT.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1459.35/1436
2,UPL.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  972.7/958.55
3,BANKINDIA.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  92.75/91.25
4,EICHERMOT.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  20452.5996/20175
5,EXIDEIND.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  215.5/211.95
6,FEDERALBNK.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  96.15/94.35
7,GSKCONS.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  7245/7155.1001
8,HCLTECH.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1169.85/1135
9,INDHOTEL.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  153.35/151.5
10,INFRATEL.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  278/271.35
11,ITC.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  306.4/302.55
12,LT.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  1367/1351
13,MPHASIS.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  967.8/950.55
14,NATIONALUM.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  53.4/52.45
15,POWERGRID.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  194.4/190.35
16,RBLBANK.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  671.55/660
17,SUNPHARMA.NSE,2019-04-29,DOUBLE_DOJI, $$ Uptrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  469.4/462.6
18,TATAGLOBAL.NSE,2019-04-29,DOUBLE_DOJI, $$ Downtrend Confirmed $$ 2. STOPLOSS/BUYPRICE :-  216.9/209.7
19,SYNGENE.NSE,2019-04-29,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 591.2
20,WIPRO.NSE,2019-04-29,IN_OUT_IN, $$ 1. IN_OUT_IN pattern breakout confirmed above buy price : 291.45
