,Stock Ticker,Date,Finding_Type,Discription
0,APOLLOHOSP.NSE,2019-04-03,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 1259 Close Day 2 Price : 1259"
1,APOLLOHOSP.NSE,2019-04-03,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 1259 Close Price : 1259.75 $$ 2. Small or no lower shadow  , Open Price : 1259 low Price : 1255.25 $$ 3. Long Upper Shadow   , Close Price : 1259.75 High Price : 1276.7 $$ 4. Uptrend confirmed ."
2,GAIL.NSE,2019-04-03,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 362.65 Close Day 2 Price : 362.65 $$ 4. Uptrend confirmed"
3,HDFCBANK.NSE,2019-04-03,TWIZZER_BOTTOM," $$ 1. Bullish candle formed $$ 2. Bearish candle formed $$ 3. TWIZZER BOTTOM FOUND , Open Day 1 Price : 2292.1 Close Day 2 Price : 2290.85"
4,HDFCBANK.NSE,2019-04-03,GRAVESTONE_DOJI," $$ 1. DOJI Found , Open Price : 2292.1 Close Price : 2292.75 $$ 2. Small or no lower shadow  , Open Price : 2292.1 low Price : 2288.25 $$ 3. Long Upper Shadow   , Close Price : 2292.75 High Price : 2316 $$ 4. Uptrend confirmed ."
5,INFY.NSE,2019-04-03,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 759 Close Price : 761.5 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 759 Previous Day Close Price : 755.1 $$ 5. Latest Candle Gap down  , Open Price : 756 Previous Day Price : 759 $$ 6. Uptrend confirmed ."
6,PFIZER.NSE,2019-04-03,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 3305 Close Day 2 Price : 3304.05 $$ 4. Uptrend confirmed"
7,SBIN.NSE,2019-04-03,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 331 Previous Day Close Price : 327.1 $$ 4. Gap Up  Rejected , Close Price : 320.5 Previous Day Open Price : 323.65 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
8,TATAGLOBAL.NSE,2019-04-03,TWIZZER_TOP," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. TWIZZER TOP FOUND , Open Day 1 Price : 212.65 Close Day 2 Price : 212.65 $$ 4. Uptrend confirmed"
9,VARROC.NSE,2019-04-03,EVENING_STAR," $$ 1. Latest Bearish candle formed $$ 2. Middle Candle Doji Formation , Open Price : 595.95 Close Price : 595 $$ 3. Last/3rd Bullish candle formed  $$ 4. Second Candle Gap Up  , Price of middle candle : 595 Previous Day Close Price : 591.55 $$ 5. Latest Candle Gap down  , Open Price : 592.9 Previous Day Price : 595"
10,YESBANK.NSE,2019-04-03,BEARISH_ENGULFING," $$ 1. Bearish candle formed $$ 2. Bullish candle formed $$ 3. Gap Up  , Open Price : 283.5 Previous Day Close Price : 278.55 $$ 4. Gap Up  Rejected , Close Price : 273.7 Previous Day Open Price : 278.2 $$ 5. BEARISH ENGLUFING PATTERN FOUND ,  $$ 6. Uptrend confirmed"
